17/12/2025 20:17:43 - 0000:	 - train_loss: 0.997224:	 - test_loss: 0.999342:	 mIoU 0.0006
17/12/2025 20:18:27 - 0010:	 - train_loss: 0.810821:	 - test_loss: 0.768650:	 mIoU 0.3551
17/12/2025 20:19:12 - 0020:	 - train_loss: 0.621384:	 - test_loss: 0.617048:	 mIoU 0.5566
17/12/2025 20:20:42 - 0040:	 - train_loss: 0.538002:	 - test_loss: 0.528781:	 mIoU 0.6505
17/12/2025 20:22:12 - 0060:	 - train_loss: 0.485918:	 - test_loss: 0.496772:	 mIoU 0.6926
17/12/2025 20:23:42 - 0080:	 - train_loss: 0.525790:	 - test_loss: 0.476481:	 mIoU 0.7164
17/12/2025 20:27:26 - 0130:	 - train_loss: 0.454216:	 - test_loss: 0.469936:	 mIoU 0.7205
17/12/2025 20:29:40 - 0160:	 - train_loss: 0.430495:	 - test_loss: 0.471740:	 mIoU 0.7235
17/12/2025 20:37:13 - 0260:	 - train_loss: 0.407583:	 - test_loss: 0.459015:	 mIoU 0.7332
17/12/2025 20:37:58 - 0270:	 - train_loss: 0.413178:	 - test_loss: 0.451911:	 mIoU 0.7369
17/12/2025 20:39:29 - 0290:	 - train_loss: 0.433918:	 - test_loss: 0.452195:	 mIoU 0.7371
17/12/2025 20:40:15 - 0300:	 - train_loss: 0.409392:	 - test_loss: 0.451092:	 mIoU 0.7413
17/12/2025 20:56:12 - 0510:	 - train_loss: 0.404737:	 - test_loss: 0.443077:	 mIoU 0.7515
17/12/2025 21:00:41 - 0570:	 - train_loss: 0.401267:	 - test_loss: 0.444510:	 mIoU 0.7523
17/12/2025 21:05:55 - 0640:	 - train_loss: 0.422801:	 - test_loss: 0.442765:	 mIoU 0.7559
17/12/2025 21:46:59 - 1190:	 - train_loss: 0.398686:	 - test_loss: 0.443132:	 mIoU 0.7579
