17/09/2025 20:19:16 - 0000:	 - train_loss: 0.989626:	 - test_loss: 0.999324:	 mIoU 0.0006
17/09/2025 20:23:12 - 0010:	 - train_loss: 0.712836:	 - test_loss: 0.860494:	 mIoU 0.2076
17/09/2025 20:25:56 - 0020:	 - train_loss: 0.578417:	 - test_loss: 0.642289:	 mIoU 0.5550
17/09/2025 20:28:22 - 0030:	 - train_loss: 0.529897:	 - test_loss: 0.601784:	 mIoU 0.6636
17/09/2025 20:30:49 - 0040:	 - train_loss: 0.531573:	 - test_loss: 0.493859:	 mIoU 0.7051
17/09/2025 20:33:15 - 0050:	 - train_loss: 0.502456:	 - test_loss: 0.467900:	 mIoU 0.7378
17/09/2025 20:40:34 - 0080:	 - train_loss: 0.485060:	 - test_loss: 0.433176:	 mIoU 0.7707
17/09/2025 20:43:00 - 0090:	 - train_loss: 0.467049:	 - test_loss: 0.432613:	 mIoU 0.7725
17/09/2025 20:45:27 - 0100:	 - train_loss: 0.423292:	 - test_loss: 0.359410:	 mIoU 0.7754
17/09/2025 20:50:20 - 0120:	 - train_loss: 0.359870:	 - test_loss: 0.265335:	 mIoU 0.7829
17/09/2025 20:52:46 - 0130:	 - train_loss: 0.368339:	 - test_loss: 0.250505:	 mIoU 0.8009
17/09/2025 20:55:13 - 0140:	 - train_loss: 0.330933:	 - test_loss: 0.257213:	 mIoU 0.8049
17/09/2025 21:04:58 - 0180:	 - train_loss: 0.308509:	 - test_loss: 0.223896:	 mIoU 0.8134
17/09/2025 21:12:17 - 0210:	 - train_loss: 0.296353:	 - test_loss: 0.214572:	 mIoU 0.8272
17/09/2025 21:17:09 - 0230:	 - train_loss: 0.279997:	 - test_loss: 0.208634:	 mIoU 0.8296
17/09/2025 21:29:20 - 0280:	 - train_loss: 0.270717:	 - test_loss: 0.198043:	 mIoU 0.8319
17/09/2025 21:46:24 - 0350:	 - train_loss: 0.264273:	 - test_loss: 0.202614:	 mIoU 0.8374
17/09/2025 22:01:02 - 0410:	 - train_loss: 0.242174:	 - test_loss: 0.187354:	 mIoU 0.8382
17/09/2025 22:15:39 - 0470:	 - train_loss: 0.258369:	 - test_loss: 0.185423:	 mIoU 0.8408
17/09/2025 22:20:31 - 0490:	 - train_loss: 0.250556:	 - test_loss: 0.185882:	 mIoU 0.8445
17/09/2025 22:30:16 - 0530:	 - train_loss: 0.244133:	 - test_loss: 0.191354:	 mIoU 0.8488
17/09/2025 22:40:00 - 0570:	 - train_loss: 0.239157:	 - test_loss: 0.173545:	 mIoU 0.8505
17/09/2025 22:54:37 - 0630:	 - train_loss: 0.246040:	 - test_loss: 0.176995:	 mIoU 0.8526
17/09/2025 22:57:03 - 0640:	 - train_loss: 0.239827:	 - test_loss: 0.173563:	 mIoU 0.8553
17/09/2025 23:21:24 - 0740:	 - train_loss: 0.231758:	 - test_loss: 0.170549:	 mIoU 0.8570
17/09/2025 23:45:45 - 0840:	 - train_loss: 0.226309:	 - test_loss: 0.169624:	 mIoU 0.8601
17/09/2025 23:50:37 - 0860:	 - train_loss: 0.227115:	 - test_loss: 0.166125:	 mIoU 0.8618
17/09/2025 23:57:56 - 0890:	 - train_loss: 0.211804:	 - test_loss: 0.159843:	 mIoU 0.8621
18/09/2025 00:10:06 - 0940:	 - train_loss: 0.226047:	 - test_loss: 0.157365:	 mIoU 0.8653
18/09/2025 00:24:43 - 1000:	 - train_loss: 0.215283:	 - test_loss: 0.153526:	 mIoU 0.8661
18/09/2025 00:41:46 - 1070:	 - train_loss: 0.202322:	 - test_loss: 0.152495:	 mIoU 0.8717
18/09/2025 00:56:23 - 1130:	 - train_loss: 0.202612:	 - test_loss: 0.144965:	 mIoU 0.8758
